Algorithm,Rank,Node,Score,NetworkX Score,Difference
power,1,605856,0.004238,0.004301,0.000063
power,2,438493,0.003465,0.003292,0.000174
power,3,537039,0.003327,0.003277,0.000050
power,4,32163,0.003097,0.003163,0.000067
power,5,185821,0.002750,0.002749,0.000000
power,6,597621,0.002575,0.002596,0.000021
power,7,74397,0.002239,0.002302,0.000063
power,8,587721,0.002149,0.002246,0.000097
power,9,596972,0.002135,0.002158,0.000022
power,10,425770,0.001927,0.001942,0.000015
gauss_seidel (fixed ω=1.100),1,605856,0.004238,0.004301,0.000063
gauss_seidel (fixed ω=1.100),2,438493,0.003465,0.003292,0.000174
gauss_seidel (fixed ω=1.100),3,537039,0.003327,0.003277,0.000050
gauss_seidel (fixed ω=1.100),4,32163,0.003097,0.003163,0.000067
gauss_seidel (fixed ω=1.100),5,185821,0.002750,0.002749,0.000000
gauss_seidel (fixed ω=1.100),6,597621,0.002575,0.002596,0.000021
gauss_seidel (fixed ω=1.100),7,74397,0.002239,0.002302,0.000063
gauss_seidel (fixed ω=1.100),8,587721,0.002149,0.002246,0.000097
gauss_seidel (fixed ω=1.100),9,596972,0.002135,0.002158,0.000022
gauss_seidel (fixed ω=1.100),10,425770,0.001927,0.001942,0.000015
gmres_solver,1,605856,0.004238,0.004301,0.000063
gmres_solver,2,438493,0.003465,0.003292,0.000174
gmres_solver,3,537039,0.003327,0.003277,0.000050
gmres_solver,4,32163,0.003097,0.003163,0.000067
gmres_solver,5,185821,0.002750,0.002749,0.000000
gmres_solver,6,597621,0.002575,0.002596,0.000021
gmres_solver,7,74397,0.002239,0.002302,0.000063
gmres_solver,8,587721,0.002149,0.002246,0.000097
gmres_solver,9,596972,0.002135,0.002158,0.000022
gmres_solver,10,425770,0.001927,0.001942,0.000015
direct_lu,1,605856,0.004238,0.004301,0.000063
direct_lu,2,438493,0.003465,0.003292,0.000174
direct_lu,3,537039,0.003327,0.003277,0.000050
direct_lu,4,32163,0.003097,0.003163,0.000067
direct_lu,5,185821,0.002750,0.002749,0.000000
direct_lu,6,597621,0.002575,0.002596,0.000021
direct_lu,7,74397,0.002239,0.002302,0.000063
direct_lu,8,587721,0.002149,0.002246,0.000097
direct_lu,9,596972,0.002135,0.002158,0.000022
direct_lu,10,425770,0.001927,0.001942,0.000015
